Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
1.5,5,4.95216,0.130422,-2.03924,-1.43298,-3.47222,0.404309,1.64636,-4.08991,7.3094,7.06809,0.370183,-2.92226,-1.32671,-4.24897,1.14757,2.1836,-6.25343,3,2.95216,0.130422,-2.03924,-1.43298,-3.47222,0.404309,1.64636,-4.08991,3.8453,3.68309,0.277201,-2.72592,-1.3822,-4.10813,0.859322,2.02938,-5.61463,7,6.95216,0.130422,-2.03924,-1.43298,-3.47222,0.404309,1.64636,-4.08991,3.8453,3.68309,0.277201,-2.72592,-1.3822,-4.10813,0.859322,2.02938,-5.61463
1.55,5,5.02499,0.0478357,-1.83819,-1.47159,-3.30978,0.148291,1.64732,-3.6338,7.3094,7.18425,0.241312,-2.73383,-1.40098,-4.1348,0.748066,2.18843,-5.67032,3,3.02499,0.0478357,-1.83819,-1.47159,-3.30978,0.148291,1.64732,-3.6338,3.8453,3.78609,0.162212,-2.52399,-1.42972,-3.95371,0.502859,2.03263,-5.05948,7,7.02499,0.0478357,-1.83819,-1.47159,-3.30978,0.148291,1.64732,-3.6338,3.8453,3.78609,0.162212,-2.52399,-1.42972,-3.95371,0.502859,2.03263,-5.05948
1.6,5,5.0888,-0.02499,-1.63498,-1.45018,-3.08517,-0.0774692,1.64682,-3.20433,7.3094,7.28835,0.125149,-2.53229,-1.44556,-3.97785,0.387961,2.19093,-5.11118,3,3.0888,-0.02499,-1.63498,-1.45018,-3.08517,-0.0774692,1.64682,-3.20433,3.8453,3.87775,0.0592107,-2.31472,-1.47153,-3.78624,0.183553,2.03381,-4.53208,7,7.0888,-0.02499,-1.63498,-1.45018,-3.08517,-0.0774692,1.64682,-3.20433,3.8453,3.87775,0.0592107,-2.31472,-1.47153,-3.78624,0.183553,2.03381,-4.53208
1.65,5,5.14466,-0.0888007,-1.43791,-1.28683,-2.72473,-0.275282,1.64504,-2.80767,7.3094,7.38102,0.0210544,-2.32352,-1.48982,-3.81335,0.0652686,2.19135,-4.58014,3,3.14466,-0.0888007,-1.43791,-1.28683,-2.72473,-0.275282,1.64504,-2.80767,3.8453,3.95879,-0.0324548,-2.10073,-1.49125,-3.59198,-0.10061,2.03316,-4.03328,7,7.14466,-0.0888007,-1.43791,-1.28683,-2.72473,-0.275282,1.64504,-2.80767,3.8453,3.95879,-0.0324548,-2.10073,-1.49125,-3.59198,-0.10061,2.03316,-4.03328
1.7,5,5.19343,-0.144659,-1.26408,-1.17333,-2.43741,-0.448444,1.64215,-2.45779,7.3094,7.46304,-0.0716152,-2.10955,-1.48117,-3.59072,-0.222007,2.18992,-4.07746,3,3.19343,-0.144659,-1.26408,-1.17333,-2.43741,-0.448444,1.64215,-2.45779,3.8453,4.02998,-0.113487,-1.88632,-1.46655,-3.35286,-0.351809,2.03089,-3.5654,7,7.19343,-0.144659,-1.26408,-1.17333,-2.43741,-0.448444,1.64215,-2.45779,3.8453,4.02998,-0.113487,-1.88632,-1.46655,-3.35286,-0.351809,2.03089,-3.5654
1.75,5,5.23595,-0.193429,-1.10723,-1.04445,-2.15168,-0.599631,1.63828,-2.14588,7.3094,7.5352,-0.153634,-1.89825,-1.45592,-3.35418,-0.476266,2.18685,-3.60883,3,3.23595,-0.193429,-1.10723,-1.04445,-2.15168,-0.599631,1.63828,-2.14588,3.8453,4.09227,-0.184683,-1.67797,-1.37851,-3.05648,-0.572518,2.0272,-3.13265,7,7.23595,-0.193429,-1.10723,-1.04445,-2.15168,-0.599631,1.63828,-2.14588,3.8453,4.09227,-0.184683,-1.67797,-1.37851,-3.05648,-0.572518,2.0272,-3.13265
1.8,5,5.27328,-0.235952,-0.968899,-0.806512,-1.77541,-0.731452,1.63356,-1.87101,7.3094,7.59838,-0.225795,-1.69271,-1.38399,-3.0767,-0.699964,2.18233,-3.17508,3,3.27328,-0.235952,-0.968899,-0.806512,-1.77541,-0.731452,1.63356,-1.87101,3.8453,4.14664,-0.246968,-1.48385,-1.23686,-2.72071,-0.7656,2.02226,-2.74051,7,7.27328,-0.235952,-0.968899,-0.806512,-1.77541,-0.731452,1.63356,-1.87101,3.8453,4.14664,-0.246968,-1.48385,-1.23686,-2.72071,-0.7656,2.02226,-2.74051
1.85,5,5.30613,-0.273275,-0.861256,-0.659696,-1.52095,-0.847153,1.6281,-1.6422,7.3094,7.65358,-0.288975,-1.49918,-1.24127,-2.74045,-0.895821,2.17655,-2.77991,3,3.30613,-0.273275,-0.861256,-0.659696,-1.52095,-0.847153,1.6281,-1.6422,3.8453,4.19393,-0.301341,-1.31033,-1.13591,-2.44624,-0.934156,2.01623,-2.39241,7,7.30613,-0.273275,-0.861256,-0.659696,-1.52095,-0.847153,1.6281,-1.6422,3.8453,4.19393,-0.301341,-1.31033,-1.13591,-2.44624,-0.934156,2.01623,-2.39241
1.9,5,5.33507,-0.306125,-0.772411,-0.55329,-1.3257,-0.948988,1.62197,-1.4454,7.3094,7.70163,-0.344177,-1.32617,-1.13959,-2.46576,-1.06695,2.16967,-2.42889,3,3.33507,-0.306125,-0.772411,-0.55329,-1.3257,-0.948988,1.62197,-1.4454,3.8453,4.23508,-0.348633,-1.15236,-0.97141,-2.12377,-1.08076,2.00926,-2.08086,7,7.33507,-0.306125,-0.772411,-0.55329,-1.3257,-0.948988,1.62197,-1.4454,3.8453,4.23508,-0.348633,-1.15236,-0.97141,-2.12377,-1.08076,2.00926,-2.08086
1.95,5,5.36057,-0.33507,-0.697023,-0.473693,-1.17072,-1.03872,1.61527,-1.27358,7.3094,7.74342,-0.392234,-1.1686,-0.999065,-2.16767,-1.21592,2.16182,-2.1145,3,3.36057,-0.33507,-0.697023,-0.473693,-1.17072,-1.03872,1.61527,-1.27358,3.8453,4.27103,-0.389776,-1.01714,-0.765078,-1.78222,-1.20831,2.00146,-1.8103,7,7.36057,-0.33507,-0.697023,-0.473693,-1.17072,-1.03872,1.61527,-1.27358,3.8453,4.27103,-0.389776,-1.01714,-0.765078,-1.78222,-1.20831,2.00146,-1.8103
