Time,TargetX0,CurrentX0,VelX0,ErrorX0,PIDOutX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,VelY0,ErrorY0,PIDOutY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,VelX1,ErrorX1,PIDOutX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,VelY1,ErrorY1,PIDOutY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,VelX2,ErrorX2,PIDOutX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,VelY2,ErrorY2,PIDOutY2,PTermY2,ITermY2,DTermY2
1.5,5,3.18722,3.34503,1.81278,-0.802076,2.97005,0.371948,-4.14407,7.3094,5.40394,3.5016,1.90546,-0.827167,3.12081,0.38933,-4.3373,3,2.22644,1.43118,0.773558,-0.346425,1.26768,0.159147,-1.77325,3.8453,2.85378,1.83444,0.991521,-0.444036,1.62486,0.203989,-2.27289,7,5.71074,2.3853,1.28926,-0.577375,2.11279,0.265244,-2.95541,3.8453,2.85378,1.83444,0.991521,-0.444036,1.62486,0.203989,-2.27289
1.55,5,3.34887,3.23312,1.65113,-0.918378,2.71917,0.37648,-4.01403,7.3094,5.5732,3.38504,1.73621,-0.94964,2.85819,0.394094,-4.20192,3,2.2956,1.38315,0.704401,-0.395995,1.16034,0.161081,-1.71741,3.8453,2.94242,1.77288,0.902877,-0.507573,1.48728,0.206468,-2.20132,7,5.826,2.30525,1.174,-0.659991,1.9339,0.268468,-2.86235,3.8453,2.94242,1.77288,0.902877,-0.507573,1.48728,0.206468,-2.20132
1.6,5,3.50479,3.11836,1.49521,-1.02245,2.47669,0.380608,-3.87975,7.3094,5.73647,3.26543,1.57293,-1.0593,2.60431,0.398435,-4.06204,3,2.36229,1.33391,0.637705,-0.440337,1.0566,0.162842,-1.65978,3.8453,3.02791,1.70976,0.817389,-0.56441,1.35432,0.208725,-2.12745,7,5.93716,2.22318,1.06284,-0.733896,1.761,0.271403,-2.7663,3.8453,3.02791,1.70976,0.817389,-0.56441,1.35432,0.208725,-2.12745
1.65,5,3.65486,3.00137,1.34514,-1.11488,2.24281,0.384346,-3.74203,7.3094,5.89364,3.14344,1.41576,-1.15675,2.3594,0.402367,-3.91852,3,2.42648,1.28373,0.573519,-0.479699,0.956558,0.164436,-1.60069,3.8453,3.11018,1.64544,0.735117,-0.614862,1.22608,0.210768,-2.05171,7,6.04414,2.13955,0.955865,-0.799498,1.59426,0.27406,-2.66782,3.8453,3.11018,1.64544,0.735117,-0.614862,1.22608,0.210768,-2.05171
1.7,5,3.799,2.88272,1.201,-1.19622,2.01771,0.387708,-3.60164,7.3094,6.04462,3.01968,1.26478,-1.24258,2.12364,0.405906,-3.77213,3,2.48812,1.23285,0.511876,-0.514325,0.860278,0.16587,-1.54047,3.8453,3.18919,1.58023,0.656106,-0.659244,1.10268,0.212606,-1.97453,7,6.14687,2.05475,0.853127,-0.857208,1.4338,0.276449,-2.56745,3.8453,3.18919,1.58023,0.656106,-0.659244,1.10268,0.212606,-1.97453
1.75,5,3.93715,2.76298,1.06285,-1.26705,1.8015,0.390711,-3.45927,7.3094,6.18936,2.89474,1.12004,-1.31739,1.89717,0.409068,-3.62362,3,2.5472,1.18152,0.452801,-0.544457,0.767815,0.167149,-1.47942,3.8453,3.26491,1.51443,0.580385,-0.697867,0.984159,0.214246,-1.89627,7,6.24533,1.96919,0.754668,-0.907428,1.27969,0.278582,-2.4657,3.8453,3.26491,1.51443,0.580385,-0.697867,0.984159,0.214246,-1.89627
1.8,5,4.06928,2.64265,0.930721,-1.32793,1.59428,0.393368,-3.31558,7.3094,6.32782,2.76914,0.981584,-1.38176,1.68006,0.411868,-3.47369,3,2.6037,1.12994,0.396304,-0.570336,0.679201,0.168281,-1.41782,3.8453,3.33733,1.44832,0.507969,-0.731038,0.870577,0.215697,-1.81731,7,6.33949,1.88323,0.660506,-0.95056,1.132,0.280469,-2.36303,3.8453,3.33733,1.44832,0.507969,-0.731038,0.870577,0.215697,-1.81731
1.85,5,4.19539,2.52221,0.804611,-1.37941,1.39608,0.395695,-3.17119,7.3094,6.45999,2.64338,0.849415,-1.43627,1.47238,0.414322,-3.32297,3,2.65761,1.07832,0.342388,-0.592199,0.594456,0.169272,-1.35593,3.8453,3.40644,1.38216,0.438861,-0.75906,0.761953,0.216967,-1.73798,7,6.42935,1.7972,0.570646,-0.986998,0.990759,0.28212,-2.25988,3.8453,3.40644,1.38216,0.438861,-0.75906,0.761953,0.216967,-1.73798
1.9,5,4.31549,2.40209,0.684506,-1.42203,1.20692,0.397706,-3.02665,7.3094,6.58588,2.51792,0.723519,-1.48149,1.27412,0.416446,-3.17205,3,2.70895,1.02685,0.291045,-0.610277,0.513581,0.170128,-1.29399,3.8453,3.47225,1.31618,0.373052,-0.782233,0.658292,0.218064,-1.65859,7,6.51492,1.71142,0.485075,-1.01713,0.855969,0.283547,-2.15664,3.8453,3.47225,1.31618,0.373052,-0.782233,0.658292,0.218064,-1.65859
1.95,5,4.42963,2.28269,0.570372,-1.45633,1.02676,0.399418,-2.8825,7.3094,6.70554,2.39318,0.60386,-1.51797,1.08528,0.418255,-3.0215,3,2.75774,0.9757,0.24226,-0.624799,0.436568,0.170856,-1.23222,3.8453,3.53478,1.25062,0.310521,-0.800847,0.559578,0.218997,-1.57942,7,6.59623,1.62617,0.403767,-1.04133,0.727613,0.284759,-2.0537,3.8453,3.53478,1.25062,0.310521,-0.800847,0.559578,0.218997,-1.57942
